,country,region,happiness_rank,happiness_score,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,logged_gdp_per_capita,year
132,Afghanistan,Southern Asia,135.0,3.575,0.30285,23.442888,0.23414,0.09719,0.3651,5.770880218188696,2015
82,Albania,Central and Eastern Europe,83.0,4.959,0.80434,62.84796,0.35733,0.06413,0.14272,6.779546837142169,2015
59,Algeria,Middle East and Northern Africa,60.0,5.605,1.07772,47.7327648,0.28579,0.17383,0.07822,6.846188338322726,2015
27,Argentina,Latin America and Caribbean,28.0,6.574,1.24823,60.8371344,0.44974,0.08484,0.11451,6.960831483041242,2015
109,Armenia,Central and Eastern Europe,112.0,4.35,0.77711,56.406672,0.19847,0.039,0.07855,6.64536401415014,2015
9,Australia,Australia and New Zealand,10.0,7.284,1.30923,71.9909568,0.65124,0.35637,0.43562,7.196371914593694,2015
12,Austria,Western Europe,13.0,7.2,1.29704,68.8116576,0.62433,0.18676,0.33088,7.199103124271099,2015
43,Bahrain,Middle East and Northern Africa,44.0,5.96,1.21624,57.7405248,0.45492,0.306,0.17362,7.188986589938455,2015
94,Bangladesh,Southern Asia,96.0,4.694,0.43106,46.4947392,0.4082,0.12569,0.21222,5.987782777705356,2015
18,Belgium,Western Europe,19.0,6.937,1.28566,69.2946576,0.5845,0.2254,0.2225,7.176881246905321,2015
133,Benin,Sub-Saharan Africa,136.0,3.34,0.35386,24.660048,0.4845,0.0801,0.1826,5.661744463309303,2015
45,Bolivia,Latin America and Caribbean,46.0,5.89,0.97841,41.669376,0.57414,0.088,0.20536,6.525513411783397,2015
83,Bosnia and Herzegovina,Central and Eastern Europe,84.0,4.949,0.91916,61.1137968,0.09245,0.00227,0.24808,6.725309714499547,2015
110,Botswana,Sub-Saharan Africa,113.0,4.332,1.10464,3.6908928,0.49495,0.12474,0.10461,6.90229037355107,2015
15,Brazil,Latin America and Caribbean,16.0,6.983,1.23287,53.8657056,0.49049,0.17521,0.14574,6.889835677679186,2015
116,Bulgaria,Central and Eastern Europe,119.0,4.218,1.10614,59.2343472,0.30587,0.00872,0.11921,6.920829438469409,2015
131,Burkina Faso,Sub-Saharan Africa,134.0,3.587,0.85188,20.9622,0.39493,0.12832,0.21747,5.557291274863074,2015
125,Cambodia,Southeastern Asia,128.0,3.819,0.62736,47.2288992,0.66246,0.07247,0.40359,6.134221998462939,2015
115,Cameroon,Sub-Saharan Africa,118.0,4.252,0.88767,18.0850656,0.49309,0.05786,0.20618,6.048553514092109,2015
4,Canada,North America,5.0,7.427,1.32261,69.98708640000001,0.63297,0.32957,0.45811,7.19089454851201,2015
128,Chad,Sub-Saharan Africa,131.0,3.667,0.76062,11.599728,0.23501,0.05269,0.18386,5.837526344705797,2015
25,Chile,Latin America and Caribbean,26.0,6.67,1.12447,66.35028960000001,0.44132,0.12869,0.33363,7.010447237205683,2015
72,China,Eastern Asia,73.0,5.14,0.94675,63.1053024,0.51697,0.02781,0.08185,6.792479098536934,2015
30,Colombia,Latin America and Caribbean,31.0,6.477,1.24018,53.3827056,0.53466,0.0512,0.18401,6.823949667123073,2015
120,Comoros,Sub-Saharan Africa,123.0,3.956,0.79273,28.064232,0.22917,0.199,0.17441,5.480888892097199,2015
119,Congo (Brazzaville),Sub-Saharan Africa,122.0,3.989,0.6629,23.9962128,0.41466,0.11686,0.12388,6.52159267312847,2015
103,Congo (Kinshasa),Sub-Saharan Africa,106.0,4.517,1.0012,7.5780768,0.22605,0.07625,0.24834,0.0,2015
11,Costa Rica,Latin America and Caribbean,12.0,7.226,1.23788,66.4816656,0.63376,0.10583,0.25497,6.863573479967863,2015
55,Croatia,Central and Eastern Europe,56.0,5.759,0.79624,60.900504000000005,0.25883,0.0243,0.05444,6.987988737692307,2015
58,Cyprus,Western Europe,59.0,5.689,0.89318,71.3727168,0.40672,0.06146,0.30638,7.097656371715912,2015
28,Czechia,Central and Eastern Europe,29.0,6.505,1.20643,65.2884624,0.46364,0.02652,0.10686,7.073252768163529,2015
2,Denmark,Western Europe,3.0,7.527,1.36058,67.5921792,0.64938,0.48357,0.34139,7.190284096193118,2015
84,Dominican Republic,Latin America and Caribbean,85.0,4.885,1.17202,51.64236,0.57672,0.14234,0.21684,6.798353274164591,2015
42,Ecuador,Latin America and Caribbean,43.0,5.975,0.99903,61.10916,0.48574,0.1809,0.11541,6.762752628051867,2015
117,Egypt,Middle East and Northern Africa,120.0,4.194,0.747,47.6910336,0.17288,0.06324,0.11291,6.783098674382582,2015
36,El Salvador,Latin America and Caribbean,37.0,6.13,1.02507,52.347153600000006,0.4035,0.11776,0.10692,6.640581467161707,2015
63,Estonia,Central and Eastern Europe,64.0,5.429,1.22791,59.7845808,0.44888,0.15184,0.0868,7.049896996141358,2015
105,Ethiopia,Sub-Saharan Africa,108.0,4.512,0.60406,34.045704,0.4345,0.15048,0.24325,5.256088132330301,2015
5,Finland,Western Europe,6.0,7.406,1.31826,68.7104208,0.64169,0.41372,0.23351,7.163366020433848,2015
26,France,Western Europe,27.0,6.575,1.26038,73.0906512,0.55011,0.20646,0.12332,7.153661777401203,2015
123,Gabon,Sub-Saharan Africa,126.0,3.896,0.90528,33.5178816,0.31914,0.11091,0.06822,6.96719331473075,2015
135,Gambia,Sub-Saharan Africa,90.0,4.81114996525,0.556479675,45.708004075,0.5899498854090909,0.579929454,0.44446634591666667,7.59294153494693,2015
112,Georgia,Central and Eastern Europe,115.0,4.297,0.38562,56.3572128,0.40577,0.38331,0.05547,6.61056144615776,2015
24,Germany,Western Europe,25.0,6.75,1.29937,68.9229408,0.61477,0.21843,0.28214,7.192121861265599,2015
99,Ghana,Sub-Saharan Africa,101.0,4.633,0.67954,31.0140096,0.42342,0.04355,0.23087,6.303680682996515,2015
87,Greece,Western Europe,88.0,4.857,0.92933,68.1710064,0.07699,0.01397,0.0,7.051907569658589,2015
37,Guatemala,Latin America and Caribbean,38.0,6.123,1.04356,49.78764,0.57733,0.09472,0.27489,6.615435803713609,2015
129,Guinea,Sub-Saharan Africa,132.0,3.656,0.46475,18.5541552,0.37725,0.12139,0.28657,5.165756930963556,2015
90,Honduras,Latin America and Caribbean,92.0,4.788,0.95348,53.717328,0.40148,0.06825,0.23027,6.390777435730948,2015
62,Hong Kong S.A.R. of China,Eastern Asia,63.0,5.474,1.05818,78.3062784,0.59608,0.37124,0.39478,7.23492725912033,2015
89,Hungary,Central and Eastern Europe,91.0,4.8,1.20215,58.659384,0.32112,0.02758,0.128,7.022814608716924,2015
1,Iceland,Western Europe,2.0,7.561,1.40223,73.24907520000001,0.62877,0.14145,0.4363,7.172670134079945,2015
102,India,Southern Asia,104.0,4.565,0.38174,39.8216112,0.39786,0.08492,0.26475,6.470784023786626,2015
64,Indonesia,Southeastern Asia,65.0,5.399,1.08708,49.2992304,0.46611,0.0,0.51535,6.720545795715401,2015
95,Iran,Middle East and Northern Africa,97.0,4.686,0.54447,53.945304,0.30033,0.05863,0.38086,6.917507570424816,2015
97,Iraq,Middle East and Northern Africa,99.0,4.677,0.81889,46.5511536,0.0,0.13788,0.17922,6.894153188563852,2015
17,Ireland,Western Europe,18.0,6.94,1.36948,69.19110239999999,0.61777,0.28703,0.45901,7.198153658928146,2015
10,Israel,Middle East and Northern Africa,11.0,7.278,1.22393,70.6238736,0.41319,0.07785,0.33172,7.1144197937484766,2015
44,Italy,Western Europe,45.0,5.948,1.19777,73.7606688,0.26236,0.02901,0.22823,7.132609366494794,2015
130,Ivory Coast,Sub-Saharan Africa,133.0,3.655,0.77115,11.734968,0.46866,0.17922,0.20165,6.144914981820847,2015
57,Jamaica,Latin America and Caribbean,58.0,5.709,1.15102,53.1230448,0.50442,0.02299,0.2123,6.698736501713324,2015
40,Japan,Eastern Asia,41.0,5.987,1.25712,76.5929808,0.49615,0.1806,0.10705,7.148141320491303,2015
70,Jordan,Middle East and Northern Africa,71.0,5.192,1.05392,53.8170192,0.40661,0.14293,0.11053,6.805700404777465,2015
48,Kazakhstan,Central and Eastern Europe,49.0,5.855,1.12241,49.7435904,0.51649,0.08454,0.11827,7.024239694017869,2015
108,Kenya,Sub-Saharan Africa,111.0,4.419,0.99876,32.020968,0.42215,0.05839,0.37542,5.90184066959963,2015
60,Kosovo,Central and Eastern Europe,61.0,5.589,0.81198,48.7884096,0.24749,0.04741,0.2831,6.68770693257523,2015
67,Kyrgyzstan,Central and Eastern Europe,68.0,5.286,1.15115,50.3000064,0.43477,0.04232,0.3003,6.163904104047486,2015
85,Laos,Southeastern Asia,86.0,4.876,0.73803,42.4336752,0.59591,0.24249,0.42192,6.382932145572292,2015
77,Latvia,Central and Eastern Europe,78.0,5.098,1.09562,55.9793136,0.29671,0.06332,0.18226,7.015820134614041,2015
88,Lebanon,Middle East and Northern Africa,89.0,4.839,0.80001,64.8742416,0.33916,0.04582,0.21854,6.934046612936205,2015
101,Liberia,Sub-Saharan Africa,103.0,4.571,0.78968,26.4305328,0.28531,0.06232,0.24362,4.279440045898781,2015
50,Lithuania,Central and Eastern Europe,51.0,5.833,1.25745,56.5133184,0.21342,0.01031,0.02641,7.0459769052445,2015
16,Luxembourg,Western Europe,17.0,6.946,1.21963,71.0156832,0.61583,0.37798,0.28034,7.355583593333385,2015
127,Madagascar,Sub-Saharan Africa,130.0,3.681,0.66801,36.1059888,0.19184,0.08124,0.21333,5.343481918502411,2015
113,Malawi,Sub-Saharan Africa,116.0,4.292,0.41134,17.4359136,0.43054,0.06977,0.33128,2.8355635214011694,2015
