country,region,happiness_rank,happiness_score,standard_error_of_happiness_score,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,dystopia_residual,logged_gdp_per_capita,lower_confidence_interval,upper_confidence_interval
Switzerland,Western Europe,1.0,7.587,0.03411,1.34951,72.7537104,0.66557,0.41978,0.29678,2.51738,7.242447360638716,7.51878,7.65522
Iceland,Western Europe,2.0,7.561,0.04884,1.40223,73.24907520000001,0.62877,0.14145,0.4363,2.70201,7.172670134079945,7.463319999999999,7.65868
Denmark,Western Europe,3.0,7.527,0.03328,1.36058,67.5921792,0.64938,0.48357,0.34139,2.49204,7.190284096193118,7.46044,7.59356
Norway,Western Europe,4.0,7.522,0.0388,1.33095,68.4090288,0.66973,0.36503,0.34699,2.46531,7.286191714702382,7.4444,7.599600000000001
Canada,North America,5.0,7.427,0.03553,1.32261,69.98708640000001,0.63297,0.32957,0.45811,2.45176,7.19089454851201,7.355939999999999,7.49806
Finland,Western Europe,6.0,7.406,0.0314,1.31826,68.7104208,0.64169,0.41372,0.23351,2.61955,7.163366020433848,7.343199999999999,7.4688
Netherlands,Western Europe,7.0,7.378,0.02799,1.28017,68.9986752,0.61576,0.31814,0.4761,2.4657,7.193264993572261,7.32202,7.43398
Sweden,Western Europe,8.0,7.364,0.03157,1.28907,70.39203359999999,0.6598,0.43844,0.36262,2.37119,7.194969742121723,7.30086,7.42714
New Zealand,Australia and New Zealand,9.0,7.286,0.03371,1.31967,70.1988336,0.63938,0.42922,0.47501,2.26425,7.131842385008559,7.218579999999999,7.35342
Australia,Australia and New Zealand,10.0,7.284,0.04083,1.30923,71.9909568,0.65124,0.35637,0.43562,2.26646,7.196371914593694,7.20234,7.36566
Israel,Middle East and Northern Africa,11.0,7.278,0.0347,1.22393,70.6238736,0.41319,0.07785,0.33172,3.08854,7.1144197937484766,7.2086,7.347399999999999
Costa Rica,Latin America and Caribbean,12.0,7.226,0.04454,1.23788,66.4816656,0.63376,0.10583,0.25497,3.17728,6.863573479967863,7.13692,7.31508
Austria,Western Europe,13.0,7.2,0.03751,1.29704,68.8116576,0.62433,0.18676,0.33088,2.5332,7.199103124271099,7.12498,7.27502
Mexico,Latin America and Caribbean,14.0,7.187,0.04176,0.91451,62.9399232,0.48181,0.21312,0.14074,3.60214,6.92906657159185,7.10348,7.27052
United States,North America,15.0,7.119,0.03839,1.24711,66.5991312,0.54604,0.1589,0.40105,2.51011,7.241015218841063,7.04222,7.19578
Brazil,Latin America and Caribbean,16.0,6.983,0.04076,1.23287,53.8657056,0.49049,0.17521,0.14574,3.26001,6.889835677679186,6.901479999999999,7.06452
Luxembourg,Western Europe,17.0,6.946,0.03499,1.21963,71.0156832,0.61583,0.37798,0.28034,1.96961,7.355583593333385,6.87602,7.01598
Ireland,Western Europe,18.0,6.94,0.03676,1.36948,69.19110239999999,0.61777,0.28703,0.45901,1.9757,7.198153658928146,6.86648,7.013520000000001
Belgium,Western Europe,19.0,6.937,0.03595,1.28566,69.2946576,0.5845,0.2254,0.2225,2.41484,7.176881246905321,6.8651,7.008900000000001
United Arab Emirates,Middle East and Northern Africa,20.0,6.901,0.03729,1.12575,62.53884,0.64157,0.38583,0.26428,2.24743,7.264219200657237,6.82642,6.97558
United Kingdom,Western Europe,21.0,6.867,0.01866,1.28548,70.2807504,0.59625,0.32067,0.51912,1.96994,7.144699166102717,6.82968,6.90432
Oman,Middle East and Northern Africa,22.0,6.853,0.05335,1.08182,58.9460928,0.63274,0.32524,0.21542,2.47489,7.21605582230979,6.7463,6.9597
Venezuela,Latin America and Caribbean,23.0,6.81,0.06476,1.25596,55.681785600000005,0.42908,0.11069,0.05841,3.19131,6.952001803101696,6.680479999999999,6.93952
Singapore,Southeastern Asia,24.0,6.798,0.0378,1.02,79.23132,0.54252,0.4921,0.31105,1.88501,7.32834542483537,6.7224,6.8736
Panama,Latin America and Caribbean,25.0,6.786,0.0491,1.1985,61.562020800000006,0.5421,0.0927,0.24434,2.84848,6.970288666181608,6.687799999999999,6.8842
Germany,Western Europe,26.0,6.75,0.01848,1.29937,68.9229408,0.61477,0.21843,0.28214,2.11569,7.192121861265599,6.71304,6.78696
Chile,Latin America and Caribbean,27.0,6.67,0.058,1.12447,66.35028960000001,0.44132,0.12869,0.33363,2.67585,7.010447237205683,6.554,6.786
Qatar,Middle East and Northern Africa,28.0,6.611,0.06257,1.0786,61.6176624,0.6404,0.52208,0.32573,1.55674,7.433323691802276,6.48586,6.73614
France,Western Europe,29.0,6.575,0.03512,1.26038,73.0906512,0.55011,0.20646,0.12332,2.21126,7.153661777401203,6.50476,6.64524
Argentina,Latin America and Caribbean,30.0,6.574,0.04612,1.24823,60.8371344,0.44974,0.08484,0.11451,2.836,6.960831483041242,6.48176,6.66624
Czechia,Central and Eastern Europe,31.0,6.505,0.04168,1.20643,65.2884624,0.46364,0.02652,0.10686,2.67782,7.073252768163529,6.42164,6.58836
Uruguay,Latin America and Caribbean,32.0,6.485,0.04539,1.2089,62.720448,0.60362,0.24558,0.2324,2.32142,6.968530477696596,6.394220000000001,6.57578
Colombia,Latin America and Caribbean,33.0,6.477,0.05051,1.24018,53.3827056,0.53466,0.0512,0.18401,2.85737,6.823949667123073,6.37598,6.57802
Thailand,Southeastern Asia,34.0,6.455,0.03557,1.26504,57.07128,0.55664,0.03187,0.5763,2.31945,6.875128776155043,6.38386,6.52614
Saudi Arabia,Middle East and Northern Africa,35.0,6.411,0.04633,1.08393,55.66092,0.31048,0.32524,0.13706,2.43872,7.241659936477081,6.318339999999999,6.50366
Spain,Western Europe,36.0,6.329,0.03468,1.31379,73.8503136,0.45951,0.06398,0.18227,2.12367,7.115671480437572,6.25964,6.398359999999999
Malta,Western Europe,37.0,6.302,0.04206,1.30203,68.5635888,0.60365,0.13586,0.51752,1.6488,7.097052449512517,6.217879999999999,6.38612
Taiwan Province of China,Eastern Asia,38.0,6.298,0.03868,1.07617,67.643184,0.3974,0.08129,0.25376,2.32323,7.163931204346572,6.22064,6.37536
Kuwait,Middle East and Northern Africa,39.0,6.295,0.04456,1.16594,56.0218176,0.55499,0.25609,0.16228,1.87634,7.349372293705789,6.20588,6.38412
Suriname,Latin America and Caribbean,40.0,6.269,0.09811,0.972,47.001695999999995,0.59657,0.13633,0.16991,2.79094,6.904088564794513,6.07278,6.46522
Trinidad and Tobago,Latin America and Caribbean,41.0,6.168,0.10895,1.18354,47.5140624,0.55884,0.0114,0.31844,2.26882,7.100711750729931,5.9501,6.3859
El Salvador,Latin America and Caribbean,42.0,6.13,0.05618,1.02507,52.347153600000006,0.4035,0.11776,0.10692,3.035,6.640581467161707,6.01764,6.24236
Guatemala,Latin America and Caribbean,43.0,6.123,0.05224,1.04356,49.78764,0.57733,0.09472,0.27489,2.74255,6.615435803713609,6.0185200000000005,6.22748
Uzbekistan,Central and Eastern Europe,44.0,6.003,0.04361,1.34043,46.191801600000005,0.65821,0.30826,0.22837,2.23741,6.45116528335782,5.91578,6.09022
Slovakia,Central and Eastern Europe,45.0,5.995,0.04267,1.26999,60.97546560000001,0.31751,0.03431,0.16893,2.24639,7.064682101756147,5.90966,6.0803400000000005
Japan,Eastern Asia,46.0,5.987,0.03581,1.25712,76.5929808,0.49615,0.1806,0.10705,1.68435,7.148141320491303,5.91538,6.05862
South Korea,Eastern Asia,47.0,5.984,0.04098,0.95774,74.6045664,0.33208,0.07857,0.18557,2.21978,7.127380648747035,5.90204,6.06596
Ecuador,Latin America and Caribbean,48.0,5.975,0.04528,0.99903,61.109159999999996,0.48574,0.1809,0.11541,2.53942,6.762752628051867,5.88444,6.06556
Bahrain,Middle East and Northern Africa,49.0,5.96,0.05412,1.21624,57.7405248,0.45492,0.306,0.17362,1.73797,7.188986589938455,5.85176,6.06824
Italy,Western Europe,50.0,5.948,0.03914,1.19777,73.7606688,0.26236,0.02901,0.22823,2.02518,7.132609366494794,5.86972,6.026280000000001
Bolivia,Latin America and Caribbean,51.0,5.89,0.05642,0.97841,41.669376,0.57414,0.088,0.20536,2.82334,6.525513411783397,5.777159999999999,6.00284
Moldova,Central and Eastern Europe,52.0,5.889,0.03799,1.01528,47.779132800000006,0.32818,0.01615,0.20951,3.10712,6.389367803008857,5.81302,5.964980000000001
Paraguay,Latin America and Caribbean,53.0,5.878,0.04563,1.30477,51.080534400000005,0.53899,0.08242,0.3424,2.18896,6.634436229366123,5.78674,5.96926
Kazakhstan,Central and Eastern Europe,54.0,5.855,0.04114,1.12241,49.7435904,0.51649,0.08454,0.11827,2.24729,7.024239694017869,5.7727200000000005,5.93728
Slovenia,Central and Eastern Europe,55.0,5.848,0.04251,1.27385,67.4940336,0.60855,0.03787,0.25328,1.61583,7.078324716009074,5.76298,5.93302
Lithuania,Central and Eastern Europe,56.0,5.833,0.03843,1.25745,56.5133184,0.21342,0.01031,0.02641,2.44649,7.0459769052445,5.75614,5.90986
Nicaragua,Latin America and Caribbean,57.0,5.828,0.05371,1.14184,57.4298592,0.55475,0.19317,0.27815,2.32407,6.387300106240303,5.72058,5.935420000000001
Peru,Latin America and Caribbean,58.0,5.824,0.04615,0.97459,56.4275376,0.41496,0.05989,0.14982,2.5945,6.803716112180502,5.7317,5.9163
Belarus,Central and Eastern Europe,59.0,5.813,0.03938,1.23289,56.8842624,0.37938,0.1909,0.11046,2.1309,6.940145021783788,5.73424,5.89176
Poland,Central and Eastern Europe,60.0,5.791,0.04263,1.27948,60.2034384,0.53122,0.04212,0.16759,1.86565,7.026915144151395,5.7057400000000005,5.87626
Malaysia,Southeastern Asia,61.0,5.77,0.0433,1.07023,55.946083200000004,0.53024,0.10501,0.33075,1.88541,7.0263024670441325,5.6834,5.856599999999999
Croatia,Central and Eastern Europe,62.0,5.759,0.04394,0.79624,60.900504000000005,0.25883,0.0243,0.05444,2.75414,6.987988737692307,5.67112,5.8468800000000005
Libya,Middle East and Northern Africa,63.0,5.754,0.07832,1.11862,54.389663999999996,0.41668,0.11023,0.18295,2.09066,7.032138706272169,5.597359999999999,5.91064
Russia,Central and Eastern Europe,64.0,5.716,0.03135,1.23617,51.7204128,0.36679,0.03005,0.00199,2.27394,7.03758984676237,5.6533,5.778700000000001
Jamaica,Latin America and Caribbean,65.0,5.709,0.13693,1.15102,53.123044799999995,0.50442,0.02299,0.2123,2.32038,6.698736501713324,5.43514,5.98286
Northern Cyprus,Western Europe,66.0,5.695,0.05635,1.07008,71.3727168,0.49027,0.1428,0.26169,1.59888,7.097598477174937,5.5823,5.8077000000000005
Cyprus,Western Europe,67.0,5.689,0.0558,0.89318,71.3727168,0.40672,0.06146,0.30638,1.88931,7.097656371715912,5.5774,5.8006
Algeria,Middle East and Northern Africa,68.0,5.605,0.05099,1.07772,47.7327648,0.28579,0.17383,0.07822,2.43209,6.846188338322726,5.50302,5.706980000000001
