country,region,happiness_rank,happiness_score,lower_confidence_interval,upper_confidence_interval,social_support,healthy_life_expectancy,freedom_to_make_life_choices,perceptions_of_corruption,generosity,dystopia_residual,logged_gdp_per_capita
Denmark,Western Europe,1.0,7.526,7.46,7.592,1.16374,61.440691199999996,0.57941,0.44453,0.36171,2.73939,7.274327086998181
Switzerland,Western Europe,2.0,7.509,7.428,7.59,1.14524,66.6949584,0.58557,0.41203,0.28083,2.69463,7.331930914994995
Iceland,Western Europe,3.0,7.501,7.333,7.669,1.18326,67.0272624,0.56624,0.14975,0.47678,2.83137,7.263792019312263
Norway,Western Europe,4.0,7.498,7.421,7.575,1.1269,61.4986512,0.59609,0.35776,0.37895,2.66465,7.364192296505901
Finland,Western Europe,5.0,7.413,7.351,7.475,1.13464,62.6671248,0.57104,0.41004,0.25492,2.82596,7.24920084237228
Canada,North America,6.0,7.404,7.335,7.473,1.0961,63.956928,0.5737,0.31329,0.44834,2.70485,7.273196684960982
Netherlands,Western Europe,7.0,7.339,7.284,7.394,1.02912,62.7753168,0.55211,0.29927,0.47416,2.70749,7.290074577582989
New Zealand,Australia and New Zealand,8.0,7.334,7.264,7.404,1.17278,64.2165888,0.58147,0.41904,0.49401,2.47553,7.216459822653176
Australia,Australia and New Zealand,9.0,7.313,7.241,7.385,1.10476,65.780736,0.56837,0.32331,0.47407,2.5465,7.276162134133695
Sweden,Western Europe,10.0,7.291,7.227,7.355,1.08764,64.2359088,0.58218,0.40867,0.38254,2.54734,7.281254891083251
Israel,Middle East and Northern Africa,11.0,7.267,7.199,7.335,0.99537,65.6238576,0.36432,0.08728,0.32288,3.31029,7.199424392611373
Austria,Western Europe,12.0,7.119,7.045,7.193,1.08383,62.260632,0.54355,0.21348,0.32865,2.69343,7.280270106950279
United States,North America,13.0,7.104,7.02,7.188,1.04782,60.20112,0.48163,0.14868,0.41077,2.72782,7.319175950795575
Costa Rica,Latin America and Caribbean,14.0,7.087,6.999,7.175,1.02152,58.8456288,0.55225,0.10547,0.22553,3.35168,6.975217646511864
Puerto Rico,Latin America and Caribbean,15.0,7.039,6.794,7.284,1.08113,60.09138240000001,0.46823,0.12275,0.22202,3.0076,7.215556105227439
Germany,Western Europe,16.0,6.994,6.93,7.058,1.09774,62.973153599999996,0.53466,0.28551,0.30452,2.50931,7.278539221249629
Brazil,Latin America and Caribbean,17.0,6.952,6.875,7.029,1.03938,47.461512,0.40425,0.14166,0.15776,3.50733,6.9925926278175154
Belgium,Western Europe,18.0,6.929,6.861,6.997,1.05249,63.337915200000005,0.51354,0.26248,0.2424,2.61355,7.2629020558681585
Ireland,Western Europe,19.0,6.907,6.836,6.978,1.16157,62.948424,0.54008,0.29754,0.44963,2.15988,7.3027726658923955
Luxembourg,Western Europe,20.0,6.871,6.804,6.938,1.03999,65.3340576,0.5487,0.35329,0.27571,2.11055,7.437512562626986
Mexico,Latin America and Caribbean,21.0,6.778,6.68,6.876,0.7146,54.9793104,0.37709,0.18355,0.11735,3.55906,7.017577824959853
Singapore,Southeastern Asia,22.0,6.739,6.674,6.804,0.86758,73.1988432,0.4877,0.46987,0.32706,1.99375,7.406437468801435
United Kingdom,Western Europe,23.0,6.725,6.647,6.803,1.08672,62.5898448,0.50036,0.27399,0.50156,2.14999,7.246959494633582
Chile,Latin America and Caribbean,24.0,6.705,6.615,6.795,0.90587,63.279182399999996,0.37789,0.11451,0.31595,2.95505,7.104719112512962
Panama,Latin America and Caribbean,25.0,6.701,6.601,6.801,0.98912,54.741288000000004,0.48927,0.08423,0.2418,3.00559,7.076704489835658
Argentina,Latin America and Caribbean,26.0,6.65,6.56,6.74,1.06612,53.8726608,0.42284,0.07296,0.10989,3.12985,7.049575970243959
Czechia,Central and Eastern Europe,27.0,6.596,6.515,6.677,1.00793,59.0233728,0.41418,0.03986,0.09929,2.96211,7.177896913456929
United Arab Emirates,Middle East and Northern Africa,28.0,6.573,6.494,6.652,0.87114,56.4089904,0.56215,0.35561,0.26591,2.21507,7.361705742905625
Uruguay,Latin America and Caribbean,29.0,6.545,6.456,6.634,1.03143,55.7830224,0.54388,0.21394,0.18056,2.67139,7.075445315231374
