country,happiness_rank,happiness_score,upper_confidence_interval,lower_confidence_interval,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,dystopia_residual,logged_gdp_per_capita,region
Norway,1.0,7.53700017929077,7.59444482058287,7.47955553799868,1.53352355957031,61.56638734817508,0.635422587394714,0.36201223731041,0.315963834524155,2.27702665328979,7.388614265285539,Western Europe
Denmark,2.0,7.52199983596802,7.58172806486487,7.46227160707116,1.55112159252167,61.24946373939511,0.626006722450256,0.355280488729477,0.40077006816864,2.31370735168457,7.302080577687481,Western Europe
Iceland,3.0,7.50400018692017,7.62203047305346,7.38596990078688,1.6105740070343,64.41690799713136,0.627162635326385,0.475540220737457,0.153526559472084,2.32271528244019,7.300900150631279,Western Europe
Switzerland,4.0,7.49399995803833,7.56177242040634,7.42622749567032,1.51691174507141,66.316386051178,0.620070576667786,0.290549278259277,0.367007285356522,2.2767162322998,7.356266819774999,Western Europe
Finland,5.0,7.4689998626709,7.52754207581282,7.41045764952898,1.5402467250824,62.53170470237732,0.617950856685638,0.24548277258873,0.38261154294014,2.4301815032959,7.275568311095397,Western Europe
Netherlands,6.0,7.3769998550415,7.42742584124207,7.32657386884093,1.42893922328949,62.650596542358436,0.585384488105774,0.470489829778671,0.282661825418472,2.29480409622192,7.316511389390858,Western Europe
Canada,7.0,7.31599998474121,7.38440283536911,7.24759713411331,1.48134899139404,64.49461538314821,0.611100912094116,0.435539722442627,0.287371516227722,2.18726444244385,7.299935476325339,North America and ANZ
New Zealand,8.0,7.31400012969971,7.3795104418695,7.24848981752992,1.54819512367249,63.11919004440307,0.614062130451202,0.500005125999451,0.382816702127457,2.0464563369751,7.249006114186966,North America and ANZ
Sweden,9.0,7.28399991989136,7.34409487739205,7.22390496239066,1.47816216945648,64.21003223419193,0.612924098968506,0.385399252176285,0.384398728609085,2.09753799438477,7.310140495101784,Western Europe
Australia,10.0,7.28399991989136,7.35665122494102,7.2113486148417,1.51004195213318,65.21557133674625,0.601607382297516,0.477699249982834,0.301183730363846,2.06521081924438,7.303449429790816,North America and ANZ
Israel,11.0,7.21299982070923,7.27985325649381,7.14614638492465,1.37628996372223,64.79186110496518,0.405988603830338,0.330082654953003,0.0852421000599861,2.80175733566284,7.227213903862771,Middle East and North Africa
Costa Rica,12.0,7.0789999961853,7.16811166629195,6.98988832607865,1.41640365123749,58.69487603187561,0.580131649971008,0.214613229036331,0.100106589496136,2.89863920211792,7.012751382604056,Latin America and Caribbean
Austria,13.0,7.00600004196167,7.07066981211305,6.94133027181029,1.4599449634552,63.00858023643497,0.567766189575195,0.316472321748734,0.221060365438461,2.1385064125061,7.305253578402111,Western Europe
United States,14.0,6.99300003051758,7.07465674757957,6.91134331345558,1.41992056369781,59.83687059402464,0.505740523338318,0.392578780651093,0.135638788342476,2.2181134223938,7.344240440937207,North America and ANZ
Ireland,15.0,6.97700023651123,7.04335166752338,6.91064880549908,1.55823111534119,62.58000120162965,0.573110342025757,0.42785832285881,0.29838815331459,1.77386903762817,7.337396859537318,Western Europe
Germany,16.0,6.95100021362305,7.00538156926632,6.89661885797977,1.47252035140991,61.74291254997254,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,7.305808576499698,Western Europe
Belgium,17.0,6.89099979400635,6.95582075044513,6.82617883756757,1.46231269836426,63.22213966369629,0.539770722389221,0.231503337621689,0.251343131065369,2.12421035766602,7.289460858897392,Western Europe
Luxembourg,18.0,6.86299991607666,6.92368609987199,6.80231373228133,1.45758366584778,65.30851618766782,0.59662789106369,0.283180981874466,0.31883442401886,1.61951208114624,7.463330685727131,Western Europe
United Kingdom,19.0,6.71400022506714,6.78379176110029,6.64420868903399,1.49646008014679,62.23636136054989,0.508190035820007,0.492774158716202,0.265428066253662,1.70414352416992,7.274225846579901,Western Europe
Chile,20.0,6.65199995040894,6.73925056010485,6.56474934071302,1.28402495384216,63.329391517639145,0.376895278692245,0.326662421226501,0.0822879821062088,2.50958585739136,7.133921943915768,Latin America and Caribbean
United Arab Emirates,21.0,6.64799976348877,6.72204730376601,6.57395222321153,1.26641023159027,56.166967706680325,0.60834527015686,0.3609419465065,0.324489563703537,1.734703540802,7.394704129502945,Middle East and North Africa
Brazil,22.0,6.63500022888184,6.72546950161457,6.5445309561491,1.43130600452423,47.6471658325195,0.437453746795654,0.16234989464283,0.111092761158943,2.76926708221436,7.010630598500926,Latin America and Caribbean
Czechia,23.0,6.60900020599365,6.68386246263981,6.5341379493475,1.43388521671295,58.30343255996708,0.490946173667908,0.0881067588925362,0.0368729270994663,2.45186185836792,7.210583826293611,Central and Eastern Europe
Argentina,24.0,6.59899997711182,6.69008508607745,6.50791486814618,1.44045114517212,53.720193815231326,0.494519203901291,0.109457060694695,0.059739887714386,2.61400532722473,7.078590673833257,Latin America and Caribbean
Mexico,25.0,6.57800006866455,6.67114890769124,6.48485122963786,1.210862159729,54.867176942825324,0.412730008363724,0.120990432798862,0.132774114608765,2.83715486526489,7.05114872195978,Latin America and Caribbean
Singapore,26.0,6.57200002670288,6.63672306910157,6.50727698430419,1.35381436347961,73.3767722797394,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,7.434421379261729,Southeast Asia
Malta,27.0,6.52699995040894,6.59839677289128,6.45560312792659,1.48841166496277,63.519850616455074,0.588767051696777,0.574730575084686,0.153066068887711,1.55686283111572,7.203613712625513,Western Europe
