happiness_rank,country,happiness_score,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,logged_gdp_per_capita,region
1.0,Finland,7.632,1.592,67.54272,0.681,0.202,0.393,7.174724309836376,Western Europe
2.0,Norway,7.594,1.582,66.53808,0.686,0.286,0.34,7.284134806195205,Western Europe
3.0,Denmark,7.555,1.59,67.07904,0.683,0.284,0.408,7.20934025660291,Western Europe
4.0,Iceland,7.495,1.644,70.63392,0.677,0.353,0.138,7.203405521083095,Western Europe
5.0,Switzerland,7.487,1.549,71.63856,0.66,0.256,0.357,7.259116128097101,Western Europe
6.0,Netherlands,7.441,1.488,67.85184,0.638,0.333,0.295,7.216709486709457,Western Europe
7.0,Canada,7.328,1.532,69.24288,0.653,0.321,0.291,7.193685818395112,North America and ANZ
8.0,New Zealand,7.324,1.601,67.69728,0.669,0.365,0.389,7.145984467714388,North America and ANZ
9.0,Sweden,7.314,1.501,70.55664,0.659,0.285,0.383,7.212294468500341,Western Europe
10.0,Australia,7.272,1.573,70.32480000000001,0.647,0.361,0.302,7.201170883281678,North America and ANZ
11.0,United Kingdom,7.19,1.433,68.62464,0.464,0.262,0.082,7.126890808898808,Western Europe
12.0,Austria,7.139,1.504,68.85648,0.617,0.242,0.224,7.201916317531627,Western Europe
13.0,Costa Rica,7.072,1.459,63.13776,0.632,0.143,0.101,6.918695219020472,Latin America and Caribbean
14.0,Ireland,6.977,1.583,67.69728,0.614,0.307,0.306,7.278628942320682,Western Europe
15.0,Germany,6.965,1.474,66.53808,0.586,0.273,0.28,7.201170883281678,Western Europe
16.0,Belgium,6.927,1.483,69.08832,0.583,0.188,0.24,7.1891677384203225,Western Europe
17.0,Luxembourg,6.91,1.52,69.24288,0.632,0.196,0.321,7.3632795869630385,Western Europe
18.0,United States,6.886,1.471,63.29232,0.547,0.291,0.133,7.243512974665482,North America and ANZ
19.0,Israel,6.814,1.559,68.23824,0.533,0.354,0.272,7.171656822768514,Middle East and North Africa
20.0,United Arab Emirates,6.774,0.776,51.77760000000001,0.284,0.186,,7.64826303090192,Middle East and North Africa
21.0,Czechia,6.711,1.489,65.99712,0.543,0.064,0.034,7.1180162044653335,Central and Eastern Europe
22.0,Malta,6.627,1.525,68.31552,0.645,0.376,0.142,7.147559271189454,Western Europe
23.0,France,6.489,1.466,70.17024,0.52,0.098,0.176,7.165493475060845,Western Europe
24.0,Mexico,6.488,1.252,58.81008,0.479,0.069,0.095,6.946013991099227,Latin America and Caribbean
25.0,Chile,6.476,1.331,62.442240000000005,0.431,0.197,0.061,7.0317412587631285,Latin America and Caribbean
26.0,Taiwan Province of China,6.441,1.436,66.22896,0.418,0.151,0.078,7.219642040130735,East Asia
27.0,Panama,6.43,1.438,58.65552,0.597,0.125,0.063,7.014814351275545,Latin America and Caribbean
28.0,Brazil,6.419,1.474,52.164,0.493,0.11,0.088,6.894670039433482,Latin America and Caribbean
29.0,Argentina,6.388,1.468,57.49632,0.57,0.062,0.054,6.97914527506881,Latin America and Caribbean
30.0,Guatemala,6.382,1.268,46.98624,0.604,0.179,0.071,6.661854740545311,Latin America and Caribbean
31.0,Uruguay,6.379,1.459,59.58288,0.625,0.13,0.155,6.997595982981927,Latin America and Caribbean
32.0,Qatar,6.374,1.303,57.80544,0.654,0.256,0.171,7.408530566894626,
33.0,Saudi Arabia,6.371,1.331,48.918240000000004,0.509,0.098,0.127,7.22983877815125,Middle East and North Africa
34.0,Singapore,6.343,1.451,77.89824,0.631,0.261,0.457,7.333023014386481,Southeast Asia
35.0,Malaysia,6.322,1.258,51.700320000000005,0.356,0.311,0.059,7.057897937411856,Southeast Asia
36.0,Spain,6.31,1.538,74.5752,0.449,0.142,0.074,7.132497551660044,Western Europe
37.0,Colombia,6.26,1.439,49.0728,0.531,0.099,0.039,6.8679744089702925,Latin America and Caribbean
38.0,Trinidad and Tobago,6.192,1.492,43.585919999999994,0.575,0.171,0.019,7.109879463072272,
39.0,Slovakia,6.173,1.537,59.969280000000005,0.354,0.118,0.014,7.099201743553092,Central and Eastern Europe
40.0,El Salvador,6.167,1.231,49.38192,0.461,0.065,0.082,6.693323668269949,Latin America and Caribbean
41.0,Nicaragua,6.141,1.319,54.096,0.527,0.208,0.128,6.505784060128229,Latin America and Caribbean
42.0,Poland,6.123,1.448,60.35568,0.546,0.108,0.064,7.0707241072602764,Central and Eastern Europe
43.0,Bahrain,6.105,1.366,53.94144,0.594,0.243,0.123,7.199678345691172,Middle East and North Africa
44.0,Uzbekistan,6.096,1.584,46.7544,0.724,0.328,0.259,6.579251212010101,Commonwealth of Independent States
45.0,Kuwait,6.083,1.301,52.164,0.554,0.167,0.106,7.29641326877392,Middle East and North Africa
46.0,Thailand,6.072,1.417,54.636959999999995,0.637,0.364,0.029,6.92461239604856,Southeast Asia
47.0,Italy,6.0,1.501,73.10688,0.281,0.137,0.028,7.142827401161621,Western Europe
48.0,Ecuador,5.973,1.33,56.87808,0.556,0.114,0.12,6.7912214627261855,Latin America and Caribbean
49.0,Belize,5.956,1.101,36.63072,0.593,0.183,0.089,6.694562058521095,
50.0,Lithuania,5.952,1.527,55.33248,0.35,0.026,0.006,7.088408778675395,Central and Eastern Europe
51.0,Slovenia,5.948,1.506,66.15168,0.633,0.16,0.051,7.106606137727303,Central and Eastern Europe
52.0,Romania,5.945,1.219,56.10528,0.528,0.088,0.001,7.018401799069201,Central and Eastern Europe
53.0,Latvia,5.933,1.454,51.85488,0.363,0.092,0.066,7.046647277848756,Central and Eastern Europe
54.0,Japan,5.915,1.462,76.35264,0.553,0.079,0.15,7.166265974133638,East Asia
55.0,Mauritius,5.891,1.387,52.85952,0.584,0.245,0.05,6.994849985833071,Sub-Saharan Africa
56.0,Jamaica,5.89,1.493,53.55504,0.575,0.096,0.031,6.709304340258298,Latin America and Caribbean
57.0,South Korea,5.875,1.204,73.80239999999999,0.244,0.175,0.051,7.144407180321139,East Asia
58.0,Northern Cyprus,5.835,1.211,70.24752000000001,0.495,0.179,0.154,7.114769448366463,Western Europe
59.0,Russia,5.81,1.479,46.29072,0.399,0.065,0.025,7.049254841255837,Commonwealth of Independent States
60.0,Kazakhstan,5.79,1.516,48.76368,0.454,0.148,0.121,7.042286171939743,Commonwealth of Independent States
