happiness_rank,country,happiness_score,upper_confidence_interval,lower_confidence_interval,dystopia_residual,explained_by:_gdp_per_capita,explained_by:_social_support,explained_by:_healthy_life_expectancy,explained_by:_freedom_to_make_life_choices,explained_by:_generosity,explained_by:_perceptions_of_corruption,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,logged_gdp_per_capita,region
1.0,Finland,7.821,7.886,7.756,2.518,1.892,1.258,0.775,0.736,0.109,0.534,0.5241666666666667,31.0,0.6690909090909091,0.1816666666666666,0.0,8.595396846431242,Western Europe
2.0,Denmark,7.636,7.71,7.563,2.226,1.953,1.243,0.777,0.719,0.188,0.532,0.5179166666666667,31.08,0.6536363636363636,0.3133333333333333,0.0,8.627123250788435,Western Europe
3.0,Iceland,7.557,7.651,7.464,2.32,1.936,1.32,0.803,0.718,0.27,0.191,0.55,32.12,0.6527272727272726,0.45,0.0,8.618382161119506,Western Europe
4.0,Switzerland,7.512,7.586,7.437,2.153,2.026,1.226,0.822,0.677,0.147,0.461,0.5108333333333334,32.879999999999995,0.6154545454545455,0.245,0.0,8.663813548582478,Western Europe
5.0,Netherlands,7.415,7.471,7.359,2.137,1.945,1.206,0.787,0.651,0.271,0.419,0.5025000000000001,31.48,0.5918181818181818,0.4516666666666667,0.0,8.623019312948538,Western Europe
6.0,Luxembourg,7.404,7.501,7.307,2.042,2.209,1.155,0.79,0.7,0.12,0.388,0.48125,31.6,0.6363636363636362,0.2,0.0,8.75027575810234,Western Europe
7.0,Sweden,7.384,7.454,7.315,2.003,1.92,1.204,0.803,0.724,0.218,0.512,0.5016666666666667,32.12,0.6581818181818181,0.3633333333333333,0.0,8.610084864574064,Western Europe
8.0,Norway,7.365,7.44,7.29,1.925,1.997,1.239,0.786,0.728,0.217,0.474,0.5162500000000001,31.44,0.6618181818181817,0.3616666666666667,0.0,8.649398705452088,Western Europe
9.0,Israel,7.364,7.426,7.301,2.634,1.826,1.221,0.818,0.568,0.155,0.143,0.50875,32.72,0.5163636363636362,0.2583333333333333,0.0,8.55989684308022,Middle East and North Africa
10.0,New Zealand,7.2,7.279,7.12,1.954,1.852,1.235,0.752,0.68,0.245,0.483,0.5145833333333334,30.08,0.6181818181818182,0.4083333333333333,0.0,8.57403250673062,North America and ANZ
11.0,Austria,7.163,7.237,7.089,2.148,1.931,1.165,0.774,0.623,0.193,0.329,0.4854166666666667,30.96,0.5663636363636363,0.3216666666666667,0.0,8.615796643739474,Western Europe
12.0,Australia,7.162,7.244,7.081,2.011,1.9,1.203,0.772,0.676,0.258,0.341,0.5012500000000001,30.88,0.6145454545454545,0.43,0.0,8.59961548321485,North America and ANZ
13.0,Ireland,7.041,7.121,6.961,1.743,2.129,1.166,0.779,0.627,0.19,0.408,0.4858333333333333,31.16,0.57,0.3166666666666667,0.0,8.713394172310794,Western Europe
14.0,Germany,7.034,7.122,6.947,2.142,1.924,1.088,0.776,0.585,0.163,0.358,0.4533333333333333,31.04,0.5318181818181817,0.2716666666666666,0.0,8.612165651862137,Western Europe
15.0,Canada,7.025,7.107,6.943,1.924,1.886,1.188,0.783,0.659,0.217,0.368,0.495,31.32,0.5990909090909091,0.3616666666666667,0.0,8.59222114841736,North America and ANZ
16.0,United States,6.977,7.065,6.888,2.214,1.982,1.182,0.628,0.574,0.22,0.177,0.4925,25.12,0.5218181818181817,0.3666666666666667,0.0,8.64186041310229,North America and ANZ
17.0,United Kingdom,6.943,7.018,6.867,1.967,1.867,1.143,0.75,0.597,0.289,0.329,0.47625,30.0,0.5427272727272726,0.4816666666666666,0.0,8.582097716994582,Western Europe
18.0,Czechia,6.92,7.029,6.811,2.263,1.815,1.26,0.715,0.66,0.158,0.048,0.525,28.6,0.6,0.2633333333333333,0.0,8.553855690072439,Central and Eastern Europe
19.0,Belgium,6.805,6.89,6.72,2.283,1.907,1.106,0.764,0.492,0.049,0.204,0.4608333333333334,30.56,0.4472727272727272,0.0816666666666666,0.0,8.603292247605872,Western Europe
20.0,France,6.687,6.758,6.615,1.895,1.863,1.219,0.808,0.567,0.07,0.266,0.5079166666666667,32.32,0.5154545454545454,0.1166666666666666,0.0,8.579953346483538,Western Europe
21.0,Bahrain,6.647,6.779,6.514,2.092,1.854,1.029,0.625,0.693,0.199,0.155,0.4287499999999999,25.0,0.6299999999999999,0.3316666666666667,0.0,8.575111633821608,Middle East and North Africa
22.0,Slovenia,6.63,6.718,6.542,1.885,1.81,1.249,0.769,0.685,0.118,0.115,0.5204166666666667,30.76,0.6227272727272727,0.1966666666666666,0.0,8.551097600230694,Central and Eastern Europe
23.0,Costa Rica,6.582,6.683,6.481,2.346,1.584,1.054,0.744,0.661,0.089,0.102,0.4391666666666667,29.76,0.6009090909090908,0.1483333333333333,0.0,8.417751632061032,Latin America and Caribbean
24.0,United Arab Emirates,6.576,6.66,6.492,1.809,1.998,0.98,0.633,0.702,0.204,0.25,0.4083333333333333,25.32,0.6381818181818181,0.3399999999999999,0.0,8.649899243540972,Middle East and North Africa
25.0,Saudi Arabia,6.523,6.637,6.409,2.075,1.87,1.092,0.577,0.651,0.078,0.18,0.455,23.08,0.5918181818181818,0.13,0.0,8.583702982609383,Middle East and North Africa
26.0,Taiwan Province of China,6.512,6.596,6.429,2.002,1.897,1.095,0.733,0.542,0.075,0.168,0.45625,29.32,0.4927272727272727,0.125,0.0,8.598035579260339,East Asia
27.0,Singapore,6.48,6.569,6.392,0.932,2.149,1.127,0.851,0.672,0.163,0.587,0.4695833333333333,34.04,0.6109090909090908,0.2716666666666666,0.0,8.7227428743294,Southeast Asia
28.0,Romania,6.477,6.575,6.379,2.446,1.719,1.006,0.655,0.605,0.039,0.006,0.4191666666666667,26.2,0.5499999999999999,0.065,0.0,8.499523715904596,Central and Eastern Europe
29.0,Spain,6.476,6.56,6.392,1.893,1.808,1.211,0.808,0.505,0.101,0.149,0.5045833333333334,32.32,0.459090909090909,0.1683333333333333,0.0,8.549992230786618,Western Europe
30.0,Uruguay,6.474,6.562,6.386,1.974,1.615,1.18,0.672,0.665,0.103,0.265,0.4916666666666666,26.88,0.6045454545454545,0.1716666666666666,0.0,8.437129054941677,Latin America and Caribbean
31.0,Italy,6.467,6.57,6.363,2.222,1.834,1.052,0.801,0.412,0.085,0.059,0.4383333333333333,32.04,0.3745454545454545,0.1416666666666667,0.0,8.564267598802166,Western Europe
32.0,Kosovo,6.455,6.571,6.339,2.631,1.362,0.949,0.569,0.599,0.309,0.035,0.3954166666666666,22.76,0.5445454545454544,0.515,0.0,8.266788553232416,Central and Eastern Europe
33.0,Malta,6.447,6.535,6.359,1.631,1.838,1.169,0.789,0.679,0.174,0.166,0.4870833333333333,31.56,0.6172727272727273,0.29,0.0,8.566445833660211,Western Europe
34.0,Lithuania,6.446,6.535,6.356,2.153,1.804,1.204,0.659,0.496,0.053,0.077,0.5016666666666667,26.36,0.4509090909090908,0.0883333333333333,0.0,8.54777781960687,Central and Eastern Europe
35.0,Slovakia,6.391,6.475,6.306,2.094,1.736,1.232,0.707,0.479,0.118,0.025,0.5133333333333333,28.28,0.4354545454545454,0.1966666666666666,0.0,8.509362612301048,Central and Eastern Europe
36.0,Estonia,6.341,6.415,6.266,1.442,1.793,1.232,0.728,0.689,0.123,0.333,0.5133333333333333,29.12,0.6263636363636362,0.205,0.0,8.54166278262351,Central and Eastern Europe
37.0,Panama,6.309,6.464,6.154,2.086,1.715,1.107,0.709,0.592,0.049,0.051,0.46125,28.36,0.5381818181818181,0.0816666666666666,0.0,8.497194544909547,Latin America and Caribbean
38.0,Brazil,6.293,6.384,6.202,2.361,1.462,1.044,0.615,0.546,0.131,0.134,0.435,24.6,0.4963636363636363,0.2183333333333333,0.0,8.337622134242068,Latin America and Caribbean
39.0,Guatemala,6.262,6.46,6.064,2.746,1.274,0.831,0.522,0.662,0.112,0.115,0.34625,20.88,0.6018181818181818,0.1866666666666666,0.0,8.200013648175434,Latin America and Caribbean
40.0,Kazakhstan,6.234,6.33,6.138,1.86,1.668,1.22,0.611,0.584,0.134,0.157,0.5083333333333333,24.44,0.5309090909090909,0.2233333333333333,0.0,8.469412517539979,Commonwealth of Independent States
41.0,Cyprus,6.221,6.32,6.122,2.044,1.815,0.909,0.819,0.448,0.123,0.062,0.37875,32.76,0.4072727272727272,0.205,0.0,8.553855690072439,Western Europe
42.0,Latvia,6.18,6.255,6.106,1.923,1.732,1.221,0.637,0.502,0.075,0.09,0.50875,25.48,0.4563636363636363,0.125,0.0,8.507056271727883,Central and Eastern Europe
43.0,Serbia,6.178,6.294,6.062,2.031,1.55,1.086,0.658,0.546,0.219,0.088,0.4525,26.32,0.4963636363636363,0.365,0.0,8.396058115373144,Central and Eastern Europe
44.0,Chile,6.172,6.262,6.082,2.04,1.651,1.08,0.748,0.46,0.124,0.069,0.45,29.92,0.4181818181818181,0.2066666666666666,0.0,8.4591705386832,Latin America and Caribbean
45.0,Nicaragua,6.165,6.312,6.017,2.418,1.105,1.029,0.617,0.617,0.168,0.212,0.4287499999999999,24.68,0.5609090909090909,0.28,0.0,8.057739430379796,Latin America and Caribbean
46.0,Mexico,6.128,6.238,6.017,2.239,1.552,0.886,0.623,0.621,0.092,0.115,0.3691666666666667,24.92,0.5645454545454545,0.1533333333333333,0.0,8.39734731528097,Latin America and Caribbean
47.0,Croatia,6.125,6.229,6.022,1.884,1.705,1.183,0.709,0.535,0.109,0.0,0.4929166666666667,28.36,0.4863636363636363,0.1816666666666666,-0.0,8.491347771741903,Central and Eastern Europe
48.0,Poland,6.123,6.205,6.04,1.693,1.758,1.174,0.712,0.523,0.124,0.14,0.4891666666666666,28.48,0.4754545454545454,0.2066666666666666,0.0,8.521953272802898,Central and Eastern Europe
49.0,El Salvador,6.12,6.25,5.99,2.514,1.265,0.768,0.607,0.666,0.089,0.212,0.32,24.28,0.6054545454545455,0.1483333333333333,0.0,8.192926167233386,Latin America and Caribbean
50.0,Kuwait,6.106,6.235,5.977,1.621,1.904,0.983,0.747,0.617,0.087,0.147,0.4095833333333333,29.88,0.5609090909090909,0.145,0.0,8.601718146485926,Middle East and North Africa
51.0,Hungary,6.086,6.187,5.985,1.812,1.748,1.233,0.668,0.485,0.078,0.064,0.51375,26.72,0.4409090909090908,0.13,0.0,8.516249889503992,Central and Eastern Europe
52.0,Mauritius,6.071,6.184,5.958,1.969,1.591,1.116,0.568,0.589,0.131,0.107,0.4650000000000001,22.719999999999995,0.5354545454545454,0.2183333333333333,0.0,8.422160116072067,Sub-Saharan Africa
53.0,Uzbekistan,6.063,6.178,5.948,1.913,1.219,1.092,0.6,0.716,0.283,0.24,0.455,24.0,0.6509090909090909,0.4716666666666666,0.0,8.15589533335937,Commonwealth of Independent States
54.0,Japan,6.039,6.119,5.959,1.487,1.835,1.089,0.866,0.537,0.007,0.218,0.45375,34.64,0.4881818181818181,0.0116666666666666,0.0,8.564812602494431,East Asia
55.0,Honduras,6.022,6.189,5.855,2.611,1.111,0.885,0.555,0.582,0.202,0.076,0.36875,22.2,0.5290909090909091,0.3366666666666667,0.0,8.063152896029454,Latin America and Caribbean
56.0,Portugal,6.016,6.122,5.911,1.691,1.76,1.078,0.777,0.655,0.016,0.039,0.4491666666666667,31.08,0.5954545454545455,0.0266666666666666,0.0,8.523090056396487,Western Europe
57.0,Argentina,5.967,6.09,5.844,1.891,1.592,1.102,0.662,0.555,0.081,0.085,0.4591666666666667,26.48,0.5045454545454545,0.135,0.0,8.422788315985933,Latin America and Caribbean
58.0,Greece,5.948,6.043,5.853,2.119,1.703,0.98,0.774,0.249,0.015,0.108,0.4083333333333333,30.96,0.2263636363636363,0.025,0.0,8.49017430371626,Western Europe
59.0,South Korea,5.935,6.021,5.849,1.656,1.851,0.886,0.841,0.414,0.111,0.176,0.3691666666666667,33.63999999999999,0.3763636363636363,0.185,0.0,8.573492506177496,East Asia
60.0,Philippines,5.904,6.007,5.8,2.283,1.268,0.912,0.514,0.678,0.107,0.142,0.38,20.56,0.6163636363636363,0.1783333333333333,0.0,8.195294246644485,Southeast Asia
61.0,Thailand,5.891,5.994,5.788,1.6,1.535,1.096,0.697,0.617,0.321,0.026,0.4566666666666667,27.879999999999995,0.5609090909090909,0.535,0.0,8.38633577155827,Southeast Asia
62.0,Moldova,5.857,5.948,5.766,2.142,1.417,1.008,0.597,0.561,0.102,0.028,0.42,23.88,0.51,0.1699999999999999,0.0,8.306366334395422,Commonwealth of Independent States
63.0,Jamaica,5.85,6.023,5.676,2.164,1.296,1.045,0.646,0.567,0.08,0.053,0.4354166666666667,25.84,0.5154545454545454,0.1333333333333333,0.0,8.217130026679188,Latin America and Caribbean
64.0,Kyrgyzstan,5.828,5.916,5.741,2.087,1.069,1.109,0.638,0.693,0.208,0.025,0.4620833333333333,25.52,0.6299999999999999,0.3466666666666667,0.0,8.024628390730426,Commonwealth of Independent States
65.0,Belarus,5.821,5.95,5.693,1.811,1.562,1.157,0.629,0.342,0.04,0.282,0.4820833333333333,25.16,0.3109090909090909,0.0666666666666666,0.0,8.40376850150094,Commonwealth of Independent States
66.0,Colombia,5.781,5.903,5.659,1.971,1.452,0.929,0.72,0.545,0.087,0.077,0.3870833333333334,28.8,0.4954545454545454,0.145,0.0,8.330760337668256,Latin America and Caribbean
67.0,Bosnia and Herzegovina,5.768,5.877,5.659,1.869,1.468,1.068,0.665,0.448,0.244,0.006,0.445,26.6,0.4072727272727272,0.4066666666666667,0.0,8.341716724874226,Central and Eastern Europe
68.0,Mongolia,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059,0.49875,18.68,0.3618181818181818,0.4116666666666667,0.0,8.289288323000317,East Asia
69.0,Dominican Republic,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179,0.4179166666666666,23.08,0.5509090909090909,0.14,0.0,8.388287816945017,Latin America and Caribbean
70.0,Malaysia,5.711,5.845,5.578,1.471,1.689,0.938,0.62,0.654,0.213,0.126,0.3908333333333333,24.8,0.5945454545454545,0.355,0.0,8.481921243047713,Southeast Asia
71.0,Bolivia,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064,0.3666666666666667,22.2,0.57,0.1866666666666666,0.0,8.185788095128043,Latin America and Caribbean
72.0,China,5.585,5.65,5.52,1.516,1.508,0.958,0.705,0.656,0.099,0.142,0.3991666666666666,28.2,0.5963636363636363,0.165,0.0,8.368593741627304,East Asia
73.0,Paraguay,5.578,5.689,5.467,1.555,1.409,1.13,0.624,0.629,0.171,0.059,0.4708333333333333,24.96,0.5718181818181818,0.285,0.0,8.300706008673192,Latin America and Caribbean
74.0,Peru,5.559,5.679,5.439,1.89,1.397,0.865,0.735,0.545,0.09,0.037,0.3604166666666666,29.4,0.4954545454545454,0.15,0.0,8.292154989241231,Latin America and Caribbean
75.0,Montenegro,5.547,5.681,5.413,1.619,1.573,1.023,0.659,0.46,0.135,0.077,0.4262499999999999,26.36,0.4181818181818181,0.225,0.0,8.4107845075744,Central and Eastern Europe
76.0,Ecuador,5.533,5.653,5.414,1.866,1.352,0.879,0.708,0.565,0.08,0.083,0.36625,28.32,0.5136363636363636,0.1333333333333333,0.0,8.25942122333869,Latin America and Caribbean
77.0,Vietnam,5.485,5.57,5.4,1.735,1.252,0.932,0.611,0.707,0.143,0.105,0.3883333333333333,24.44,0.6427272727272726,0.2383333333333333,0.0,8.182599189806798,Southeast Asia
78.0,Turkmenistan,5.474,5.578,5.371,1.16,1.484,1.319,0.516,0.649,0.314,0.032,0.5495833333333333,20.64,0.59,0.5233333333333333,0.0,8.352554369474591,Commonwealth of Independent States
79.0,Northern Cyprus,5.467,5.609,5.325,1.078,1.815,0.888,0.819,0.523,0.13,0.213,0.37,32.76,0.4754545454545454,0.2166666666666666,0.0,8.553855690072439,Western Europe
80.0,Russia,5.459,5.525,5.392,1.494,1.685,1.095,0.586,0.401,0.117,0.08,0.45625,23.44,0.3645454545454545,0.195,0.0,8.479550660848869,Commonwealth of Independent States
81.0,Hong Kong S.A.R. of China,5.425,5.501,5.348,0.642,1.957,0.954,0.942,0.4,0.147,0.383,0.3975,37.67999999999999,0.3636363636363636,0.245,0.0,8.629168921075044,East Asia
82.0,Armenia,5.399,5.519,5.278,1.654,1.434,0.82,0.668,0.558,0.054,0.21,0.3416666666666667,26.72,0.5072727272727273,0.09,0.0,8.318289188401797,Commonwealth of Independent States
83.0,Tajikistan,5.377,5.468,5.287,1.895,0.966,1.005,0.518,0.572,0.118,0.304,0.4187499999999999,20.72,0.5199999999999999,0.1966666666666666,0.0,7.923348211930155,Commonwealth of Independent States
84.0,Nepal,5.377,5.502,5.251,2.224,0.984,0.784,0.499,0.519,0.237,0.13,0.3266666666666667,19.96,0.4718181818181818,0.395,0.0,7.941803649364774,South Asia
85.0,Bulgaria,5.371,5.485,5.257,1.235,1.625,1.163,0.64,0.563,0.123,0.021,0.4845833333333333,25.6,0.5118181818181817,0.205,0.0,8.443300580685964,Central and Eastern Europe
86.0,Libya,5.33,5.543,5.118,1.544,1.476,0.943,0.606,0.477,0.106,0.179,0.3929166666666666,24.24,0.4336363636363636,0.1766666666666666,0.0,8.347150228920118,Middle East and North Africa
87.0,Indonesia,5.24,5.341,5.139,1.3,1.382,0.883,0.539,0.62,0.468,0.047,0.3679166666666666,21.56,0.5636363636363636,0.78,0.0,8.281362352912874,Southeast Asia
88.0,Ivory Coast,5.235,5.384,5.085,2.652,1.094,0.442,0.322,0.451,0.149,0.124,0.1841666666666666,12.88,0.41,0.2483333333333333,0.0,8.047737983188773,Sub-Saharan Africa
89.0,North Macedonia,5.199,5.303,5.095,1.461,1.505,0.863,0.637,0.488,0.215,0.031,0.3595833333333333,25.48,0.4436363636363636,0.3583333333333333,0.0,8.366602832783736,Central and Eastern Europe
90.0,Albania,5.199,5.321,5.076,1.718,1.439,0.646,0.719,0.511,0.138,0.028,0.2691666666666666,28.76,0.4645454545454545,0.23,0.0,8.321769026273204,Central and Eastern Europe
91.0,South Africa,5.194,5.315,5.073,1.742,1.425,1.088,0.361,0.442,0.089,0.046,0.4533333333333333,14.44,0.4018181818181818,0.1483333333333333,0.0,8.311994801078328,Sub-Saharan Africa
92.0,Azerbaijan,5.173,5.265,5.082,1.098,1.458,1.093,0.56,0.601,0.023,0.341,0.4554166666666667,22.4,0.5463636363636363,0.0383333333333333,0.0,8.334883063128405,Commonwealth of Independent States
93.0,Gambia,5.164,5.409,4.918,2.531,0.785,0.621,0.369,0.367,0.388,0.103,0.25875,14.76,0.3336363636363636,0.6466666666666667,0.0,7.715951602787719,Sub-Saharan Africa
94.0,Bangladesh,5.155,5.262,5.049,1.967,1.06,0.614,0.581,0.622,0.125,0.187,0.2558333333333333,23.24,0.5654545454545454,0.2083333333333333,0.0,8.016176445783751,South Asia
95.0,Laos,5.14,5.263,5.018,1.709,1.239,0.654,0.479,0.679,0.197,0.184,0.2725,19.16,0.6172727272727273,0.3283333333333333,0.0,8.172164452111904,Southeast Asia
96.0,Algeria,5.122,5.215,5.03,1.744,1.363,0.97,0.643,0.146,0.106,0.15,0.4041666666666667,25.72,0.1327272727272727,0.1766666666666666,0.0,8.267522309731566,Middle East and North Africa
97.0,Liberia,5.122,5.428,4.815,2.844,0.636,0.67,0.309,0.405,0.178,0.08,0.2791666666666667,12.36,0.3681818181818181,0.2966666666666667,0.0,7.505570850936734,Sub-Saharan Africa
98.0,Ukraine,5.084,5.19,4.978,1.331,1.411,1.081,0.583,0.473,0.188,0.017,0.4504166666666667,23.32,0.4299999999999999,0.3133333333333333,0.0,8.302124096619561,Commonwealth of Independent States
99.0,Congo (Brazzaville),5.075,5.235,4.915,2.658,0.95,0.405,0.355,0.431,0.13,0.146,0.16875,14.2,0.3918181818181818,0.2166666666666666,0.0,7.906652462295524,Sub-Saharan Africa
100.0,Morocco,5.06,5.181,4.938,2.405,1.208,0.268,0.565,0.492,0.02,0.102,0.1116666666666666,22.6,0.4472727272727272,0.0333333333333333,0.0,8.146833196127668,Middle East and North Africa
101.0,Mozambique,5.048,5.273,4.823,2.641,0.578,0.66,0.191,0.593,0.185,0.2,0.275,7.64,0.5390909090909091,0.3083333333333333,0.0,7.410001346240088,Sub-Saharan Africa
102.0,Cameroon,5.048,5.188,4.907,2.469,0.968,0.672,0.317,0.397,0.152,0.074,0.28,12.68,0.3609090909090909,0.2533333333333333,0.0,7.925415716672418,Sub-Saharan Africa
103.0,Senegal,5.046,5.171,4.921,2.419,0.933,0.53,0.447,0.494,0.143,0.081,0.2208333333333333,17.88,0.449090909090909,0.2383333333333333,0.0,7.888602388977284,Sub-Saharan Africa
104.0,Niger,5.003,5.247,4.76,2.667,0.57,0.56,0.326,0.571,0.165,0.145,0.2333333333333333,13.04,0.519090909090909,0.275,0.0,7.396072331972585,Sub-Saharan Africa
105.0,Georgia,4.973,5.079,4.867,1.583,1.467,0.612,0.595,0.508,0.0,0.208,0.255,23.8,0.4618181818181818,0.0,0.0,8.341035456325889,Commonwealth of Independent States
106.0,Gabon,4.958,5.091,4.826,1.892,1.459,0.738,0.396,0.343,0.032,0.099,0.3075,15.84,0.3118181818181818,0.0533333333333333,0.0,8.335568534588225,Sub-Saharan Africa
107.0,Iraq,4.941,5.099,4.783,1.894,1.289,0.682,0.554,0.328,0.147,0.046,0.2841666666666667,22.16,0.2981818181818181,0.245,0.0,8.211715618897248,Middle East and North Africa
108.0,Venezuela,4.925,5.051,4.8,2.79,0.0,0.968,0.578,0.283,0.225,0.082,0.4033333333333333,23.12,0.2572727272727272,0.375,0.0,0.0,Latin America and Caribbean
109.0,Guinea,4.891,5.028,4.753,2.538,0.848,0.566,0.275,0.334,0.214,0.116,0.2358333333333333,11.0,0.3036363636363636,0.3566666666666667,0.0,7.793115410987626,Sub-Saharan Africa
110.0,Iran,4.888,4.995,4.78,1.427,1.41,0.741,0.642,0.281,0.241,0.146,0.30875,25.68,0.2554545454545454,0.4016666666666666,0.0,8.301415304018034,Middle East and North Africa
111.0,Ghana,4.872,4.999,4.745,1.972,1.112,0.595,0.409,0.5,0.23,0.056,0.2479166666666666,16.36,0.4545454545454545,0.3833333333333333,0.0,8.06405229798782,Sub-Saharan Africa
